ACH-001396,0
ACH-001392,0
ACH-001391,0
ACH-000568,0
ACH-000910,0
ACH-000097,0
ACH-001390,0
ACH-000711,0
ACH-000721,0
ACH-000148,0
ACH-000212,0
ACH-000768,0
ACH-000755,0
ACH-000668,0
ACH-000934,0
ACH-000828,0
ACH-000288,0
ACH-000330,0
ACH-000927,0
ACH-000859,0
ACH-000258,0
ACH-000554,0
ACH-000849,0
ACH-000277,0
ACH-000147,0
ACH-000691,0
ACH-000725,0
ACH-000019,0
ACH-000017,0
ACH-000028,0
ACH-000856,0
ACH-000857,0
ACH-000248,0
ACH-000374,0
ACH-000642,0
ACH-000902,0
ACH-000573,0
ACH-000759,0
ACH-000876,0
ACH-000930,3
ACH-000699,0
ACH-000643,0
ACH-000536,0
ACH-000783,0
ACH-000818,0
ACH-000044,0
ACH-000223,0
ACH-000117,0
ACH-000276,0
ACH-000111,0
ACH-000196,0
ACH-000621,0
ACH-000624,0
ACH-000352,0
ACH-000349,0
ACH-000470,0
ACH-000958,3
ACH-000820,0
ACH-000991,1
ACH-001458,0
ACH-000489,0
ACH-000970,3
ACH-001456,0
ACH-000935,6
ACH-001460,0
ACH-000421,0
ACH-001454,0
ACH-000943,3
ACH-001399,0
ACH-000959,3
ACH-000552,0
ACH-000997,5
ACH-000971,3
ACH-000722,0
ACH-000680,0
ACH-000842,0
ACH-000926,0
ACH-000403,0
ACH-000708,0
ACH-000400,0
ACH-000007,0
ACH-000957,3
ACH-000989,5
ACH-000798,0
ACH-000009,0
ACH-000963,3
ACH-000491,0
ACH-000986,1
ACH-000236,0
ACH-000985,5
ACH-000651,0
ACH-000360,0
ACH-000467,0
ACH-000501,0
ACH-000532,0
ACH-000003,0
ACH-000982,3
ACH-000998,5
ACH-000252,0
ACH-000999,2
ACH-000969,3
ACH-000381,0
ACH-000253,0
ACH-000955,3
ACH-000950,3
ACH-000350,0
ACH-000249,0
ACH-000089,0
ACH-000683,0
ACH-000286,0
ACH-000412,0
ACH-000202,0
ACH-000342,0
ACH-000565,0
ACH-000895,0
ACH-000967,3
ACH-000296,0
ACH-000813,0
ACH-000677,0
ACH-001041,0
ACH-000858,0
ACH-000667,0
ACH-000769,0
ACH-000575,0
ACH-000681,0
ACH-000749,0
ACH-000878,0
ACH-000528,0
ACH-000367,0
ACH-000511,0
ACH-000779,0
ACH-000311,0
ACH-000752,0
ACH-000731,0
ACH-000438,0
ACH-000481,0
ACH-000851,0
ACH-000872,0
ACH-000496,0
ACH-000176,0
ACH-000339,0
ACH-000251,0
ACH-000187,7
ACH-000596,0
ACH-000852,0
ACH-000463,0
ACH-000825,0
ACH-000853,0
